T_max,V_eff,ratio_vers_1sur7,delta,delta_abs,time_ms,stack_bytes
100,0.12132938770042038040189580051098745820,0.84930571390294266281327060357691220738,-0.15069428609705733718672939642308779262,0.15069428609705733718672939642308779262,394,2224
200,0.12772939689762934126995220185460090562,0.89410577828340538888966541298220633934,-0.10589422171659461111033458701779366066,0.10589422171659461111033458701779366066,1602,2224
500,0.13230675669064576852261789541363478193,0.92614729683452037965832526789544347353,-0.073852703165479620341674732104556526465,0.073852703165479620341674732104556526465,14630,2224
1000,0.13410321180484552949748538524648047581,0.93872248263391870648239769672536333069,-0.061277517366081293517602303274636669311,0.061277517366081293517602303274636669311,109904,2224
2000,0.13510958769069273925122146693775034657,0.94576711383484917475855026856425242599,-0.054232886165150825241449731435747574008,0.054232886165150825241449731435747574008,1213529,2224
